race_id,competition,extracted_frames,total_frames,success_rate,fps,frame_width,frame_height,start_frame,finish_frame,athlete_lane_inferred,athlete_mean_x,file_path
Speed_finals_Seoul_2024_race021,seoul_2024,188,188,100.0,30.0,1280,720,45,232,left,0.314,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race021_pose.json
Speed_finals_Seoul_2024_race024,seoul_2024,314,314,100.0,30.0,1280,720,45,358,left,0.318,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race024_pose.json
Speed_finals_Seoul_2024_race025,seoul_2024,374,374,100.0,30.0,1280,720,45,418,left,0.349,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race025_pose.json
Speed_finals_Seoul_2024_race026,seoul_2024,199,199,100.0,30.0,1280,720,45,243,left,0.303,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race026_pose.json
Speed_finals_Seoul_2024_race027,seoul_2024,161,163,98.77300613496932,30.0,1280,720,45,207,left,0.3,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race027_pose.json
Speed_finals_Seoul_2024_race028,seoul_2024,290,292,99.31506849315068,30.0,1280,720,45,336,right,0.553,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race028_pose.json
Speed_finals_Seoul_2024_race029,seoul_2024,194,195,99.48717948717949,30.0,1280,720,45,239,center,0.487,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race029_pose.json
Speed_finals_Seoul_2024_race030,seoul_2024,211,212,99.52830188679245,30.0,1280,720,45,256,left,0.284,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race030_pose.json
Speed_finals_Seoul_2024_race031,seoul_2024,175,176,99.43181818181817,30.0,1280,720,45,220,left,0.305,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race031_pose.json
Speed_finals_Villars_2024_race001,villars_2024,174,175,99.42857142857143,30.0,1280,720,45,219,left,0.358,data/processed/poses/single_athlete/poses_villars_2024/Speed_finals_Villars_2024_race001_pose.json
Speed_finals_Villars_2024_race003,villars_2024,155,156,99.35897435897436,30.0,1280,720,45,200,right,0.718,data/processed/poses/single_athlete/poses_villars_2024/Speed_finals_Villars_2024_race003_pose.json
Speed_finals_Villars_2024_race004,villars_2024,162,165,98.18181818181819,30.0,1280,720,45,209,right,0.713,data/processed/poses/single_athlete/poses_villars_2024/Speed_finals_Villars_2024_race004_pose.json
Speed_finals_Villars_2024_race005,villars_2024,145,145,100.0,30.0,1280,720,45,189,right,0.702,data/processed/poses/single_athlete/poses_villars_2024/Speed_finals_Villars_2024_race005_pose.json
Speed_finals_Villars_2024_race006,villars_2024,149,151,98.67549668874173,30.0,1280,720,45,195,right,0.709,data/processed/poses/single_athlete/poses_villars_2024/Speed_finals_Villars_2024_race006_pose.json
Speed_finals_Villars_2024_race007,villars_2024,193,193,100.0,30.0,1280,720,45,237,left,0.327,data/processed/poses/single_athlete/poses_villars_2024/Speed_finals_Villars_2024_race007_pose.json
Speed_finals_Villars_2024_race008,villars_2024,248,262,94.65648854961832,30.0,1280,720,45,306,left,0.389,data/processed/poses/single_athlete/poses_villars_2024/Speed_finals_Villars_2024_race008_pose.json
Speed_finals_Villars_2024_race009,villars_2024,247,248,99.59677419354838,30.0,1280,720,45,292,right,0.559,data/processed/poses/single_athlete/poses_villars_2024/Speed_finals_Villars_2024_race009_pose.json
