iteration,metric,reference_minus_cnn
60,accuracy,0.09345794392523366
60,balanced_accuracy,0.2846534653465347
60,f1_macro,0.3377525252525253
60,f1_beginner,0.625
60,precision_beginner,0.7
60,recall_beginner,0.5
60,roc_auc,0.21287128712871284
60,pr_auc,0.8314886861857487
61,accuracy,0.08411214953271029
61,balanced_accuracy,0.404126213592233
61,f1_macro,0.43125839677563815
61,f1_beginner,0.8181818181818181
61,precision_beginner,0.8571428571428572
61,recall_beginner,0.75
61,roc_auc,0.5169902912621359
61,pr_auc,0.9189203838736549
62,accuracy,0.11214953271028039
62,balanced_accuracy,0.4186893203883495
62,f1_macro,0.45857142857142863
62,f1_beginner,0.8571428571428571
62,precision_beginner,0.9
62,recall_beginner,0.75
62,roc_auc,0.3203883495145631
62,pr_auc,0.924104416255579
63,accuracy,0.16822429906542058
63,balanced_accuracy,0.45154639175257727
63,f1_macro,0.45596590909090917
63,f1_beginner,0.8181818181818182
63,precision_beginner,0.8333333333333334
63,recall_beginner,0.8
63,roc_auc,0.4855670103092784
63,pr_auc,0.8848230770375968
64,accuracy,0.10280373831775702
64,balanced_accuracy,0.29876893939393945
64,f1_macro,0.29040217123118683
64,f1_beginner,0.5238095238095238
64,precision_beginner,0.5
64,recall_beginner,0.5454545454545454
64,roc_auc,0.3617424242424242
64,pr_auc,0.7499837303456951
65,accuracy,0.09345794392523366
65,balanced_accuracy,0.3717948717948718
65,f1_macro,0.4414191419141914
65,f1_beginner,0.8333333333333334
65,precision_beginner,0.8888888888888888
65,recall_beginner,0.6666666666666667
65,roc_auc,0.5961538461538461
65,pr_auc,0.9447673904195644
66,accuracy,0.12149532710280375
66,balanced_accuracy,0.37788778877887785
66,f1_macro,0.4153478650343386
66,f1_beginner,0.7647058823529411
66,precision_beginner,0.8181818181818181
66,recall_beginner,0.6666666666666667
66,roc_auc,0.42244224422442245
66,pr_auc,0.8979307648872866
67,accuracy,0.08411214953271029
67,balanced_accuracy,0.5148514851485149
67,f1_macro,0.5219512195121951
67,f1_beginner,1.0
67,precision_beginner,1.0
67,recall_beginner,1.0
67,roc_auc,0.6122112211221122
67,pr_auc,0.9460810318208197
68,accuracy,0.15887850467289721
68,balanced_accuracy,0.4880050505050505
68,f1_macro,0.4909581646423751
68,f1_beginner,0.8947368421052632
68,precision_beginner,0.9090909090909091
68,recall_beginner,0.875
68,roc_auc,0.5606060606060606
68,pr_auc,0.9163774671695405
69,accuracy,0.14953271028037385
69,balanced_accuracy,0.44554924242424243
69,f1_macro,0.44123711340206184
69,f1_beginner,0.8
69,precision_beginner,0.7777777777777778
69,recall_beginner,0.8181818181818181
69,roc_auc,0.3882575757575758
69,pr_auc,0.8456756583776641
70,accuracy,0.11214953271028039
70,balanced_accuracy,0.3921428571428571
70,f1_macro,0.4053030303030303
70,f1_beginner,0.75
70,precision_beginner,0.7777777777777778
70,recall_beginner,0.7142857142857143
70,roc_auc,0.39714285714285713
70,pr_auc,0.8848473261882013
71,accuracy,0.14953271028037385
71,balanced_accuracy,0.4381067961165048
71,f1_macro,0.4852607709750567
71,f1_beginner,0.8888888888888888
71,precision_beginner,0.9285714285714286
71,recall_beginner,0.75
71,roc_auc,0.4150485436893204
71,pr_auc,0.9372530559328313
72,accuracy,0.10280373831775702
72,balanced_accuracy,0.5247524752475248
72,f1_macro,0.5270935960591133
72,f1_beginner,1.0
72,precision_beginner,1.0
72,recall_beginner,1.0
72,roc_auc,0.5643564356435644
72,pr_auc,0.9419768799328189
73,accuracy,0.12149532710280375
73,balanced_accuracy,0.4441176470588235
73,f1_macro,0.4659966499162479
73,f1_beginner,0.8666666666666667
73,precision_beginner,0.9
73,recall_beginner,0.8
73,roc_auc,0.41764705882352937
73,pr_auc,0.9225872055280927
74,accuracy,0.09345794392523366
74,balanced_accuracy,0.529126213592233
74,f1_macro,0.5245098039215685
74,f1_beginner,1.0
74,precision_beginner,1.0
74,recall_beginner,1.0
74,roc_auc,0.7402912621359223
74,pr_auc,0.969380740032914
75,accuracy,0.13084112149532712
75,balanced_accuracy,0.4612211221122112
75,f1_macro,0.47285353535353536
75,f1_beginner,0.875
75,precision_beginner,0.9
75,recall_beginner,0.8333333333333334
75,roc_auc,0.3267326732673267
75,pr_auc,0.9046728851886113
76,accuracy,0.13084112149532712
